Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Avg_Reward_User_6	Avg_Reward_User_7	Avg_Reward_User_8	Avg_Reward_User_9	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Packet_Loss_Ratio_User_6	Packet_Loss_Ratio_User_7	Packet_Loss_Ratio_User_8	Packet_Loss_Ratio_User_9	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Avg_Loss_User_6	Avg_Loss_User_7	Avg_Loss_User_8	Avg_Loss_User_9
51000	13.5596	1.3847	1.3908	1.3956	1.3939	1.3977	1.3964	1.3941	1.1938	1.2103	1.4022	0.5388	0.5377	0.5361	0.5362	0.5339	0.5341	0.5362	0.6023	0.5978	0.5344	1.995591	1.990300	1.983892	1.963933	2.023038	2.024317	1.980571	2.057024	2.036229	1.991319
52000	13.5721	1.3852	1.3915	1.3960	1.3950	1.3983	1.3969	1.3953	1.1981	1.2147	1.4014	0.5386	0.5373	0.5355	0.5358	0.5335	0.5342	0.5358	0.6008	0.5965	0.5349	1.998891	1.992546	1.985757	1.967022	2.025129	2.028565	1.987534	2.058657	2.039500	1.994914
53000	13.5840	1.3852	1.3912	1.3966	1.3954	1.3988	1.3975	1.3957	1.2037	1.2188	1.4010	0.5386	0.5371	0.5353	0.5357	0.5331	0.5341	0.5355	0.5991	0.5952	0.5348	1.994941	1.989324	1.982339	1.963901	2.021339	2.025673	1.984914	2.054017	2.035531	1.991746
54000	13.5920	1.3848	1.3917	1.3967	1.3957	1.3987	1.3971	1.3962	1.2078	1.2225	1.4008	0.5386	0.5369	0.5354	0.5357	0.5334	0.5339	0.5353	0.5978	0.5939	0.5350	1.989629	1.984273	1.977010	1.958776	2.015457	2.020669	1.979970	2.048196	2.029654	1.987249
55000	13.6003	1.3863	1.3910	1.3971	1.3967	1.3988	1.3974	1.3968	1.2114	1.2250	1.3999	0.5380	0.5369	0.5353	0.5355	0.5334	0.5338	0.5352	0.5968	0.5931	0.5353	1.983414	1.978719	1.971070	1.952921	2.009191	2.014562	1.973990	2.041580	2.022968	1.981833
56000	13.6096	1.3862	1.3921	1.3971	1.3971	1.3991	1.3971	1.3970	1.2156	1.2282	1.4001	0.5376	0.5368	0.5352	0.5356	0.5331	0.5338	0.5354	0.5954	0.5919	0.5350	1.977206	1.973251	1.965064	1.946981	2.002630	2.008279	1.967861	2.034502	2.016373	1.976234
57000	13.6180	1.3865	1.3922	1.3975	1.3971	1.3998	1.3982	1.3973	1.2181	1.2310	1.4003	0.5374	0.5369	0.5349	0.5352	0.5326	0.5333	0.5355	0.5946	0.5911	0.5347	1.970935	1.967738	1.958827	1.940870	1.995936	2.001503	1.961512	2.027735	2.009671	1.970255
58000	13.6294	1.3873	1.3929	1.3982	1.3973	1.4002	1.3985	1.3979	1.2219	1.2340	1.4012	0.5370	0.5368	0.5349	0.5351	0.5327	0.5331	0.5352	0.5934	0.5901	0.5344	1.964645	1.962112	1.952536	1.934141	1.989136	1.994718	1.955040	2.020629	2.002591	1.964066
59000	13.6365	1.3882	1.3922	1.3979	1.3971	1.4006	1.4000	1.3982	1.2239	1.2366	1.4019	0.5366	0.5372	0.5350	0.5353	0.5326	0.5328	0.5352	0.5926	0.5893	0.5341	1.958133	1.956188	1.946360	1.927235	1.982252	1.987892	1.948386	2.013387	1.995064	1.957700
60000	13.6464	1.3894	1.3921	1.3983	1.3969	1.4007	1.3999	1.3993	1.2279	1.2394	1.4025	0.5362	0.5371	0.5348	0.5355	0.5323	0.5329	0.5349	0.5914	0.5880	0.5341	1.951756	1.950524	1.940373	1.920724	1.975630	1.981151	1.942103	2.006159	1.987675	1.951311
