Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
88000	1.7375	0.4496	0.4194	0.4385	0.4300	0.8517	0.8783	0.8608	0.8696	0.430565	0.405248	0.426634	0.393706
89000	1.7373	0.4495	0.4192	0.4381	0.4304	0.8516	0.8785	0.8611	0.8695	0.430909	0.405838	0.427151	0.393863
90000	1.7368	0.4495	0.4187	0.4378	0.4308	0.8516	0.8788	0.8613	0.8692	0.431226	0.406361	0.427629	0.394003
91000	1.7370	0.4496	0.4187	0.4377	0.4310	0.8516	0.8789	0.8613	0.8691	0.432240	0.407564	0.428796	0.394683
92000	1.7376	0.4496	0.4189	0.4379	0.4312	0.8515	0.8788	0.8613	0.8689	0.432936	0.408447	0.429612	0.394967
93000	1.7375	0.4496	0.4185	0.4380	0.4314	0.8516	0.8791	0.8613	0.8688	0.433544	0.409230	0.430355	0.395174
94000	1.7377	0.4496	0.4186	0.4381	0.4314	0.8516	0.8791	0.8613	0.8688	0.434064	0.409943	0.431012	0.395312
95000	1.7382	0.4494	0.4186	0.4382	0.4321	0.8517	0.8792	0.8612	0.8685	0.434546	0.410630	0.431660	0.395414
96000	1.7389	0.4494	0.4185	0.4385	0.4326	0.8518	0.8794	0.8611	0.8682	0.435062	0.411311	0.432321	0.395575
97000	1.7390	0.4495	0.4186	0.4384	0.4326	0.8517	0.8794	0.8612	0.8682	0.435527	0.411949	0.432924	0.395674
98000	1.7390	0.4493	0.4186	0.4387	0.4325	0.8519	0.8795	0.8611	0.8682	0.435950	0.412515	0.433484	0.395713
99000	1.7389	0.4495	0.4186	0.4384	0.4325	0.8517	0.8796	0.8612	0.8681	0.436352	0.413041	0.433984	0.395747
100000	1.7386	0.4493	0.4184	0.4381	0.4328	0.8518	0.8798	0.8614	0.8680	0.436707	0.413546	0.434485	0.395788
101000	1.7382	0.4495	0.4182	0.4381	0.4325	0.8518	0.8799	0.8613	0.8681	0.437753	0.414669	0.435613	0.396554
102000	1.7375	0.4494	0.4179	0.4377	0.4325	0.8518	0.8801	0.8617	0.8681	0.438482	0.415454	0.436399	0.396935
103000	1.7377	0.4496	0.4179	0.4380	0.4323	0.8518	0.8802	0.8617	0.8682	0.439117	0.416118	0.437066	0.397207
104000	1.7383	0.4496	0.4182	0.4380	0.4325	0.8517	0.8802	0.8618	0.8680	0.439731	0.416788	0.437727	0.397468
105000	1.7381	0.4496	0.4179	0.4379	0.4326	0.8518	0.8804	0.8619	0.8679	0.440239	0.417380	0.438296	0.397642
106000	1.7382	0.4494	0.4179	0.4381	0.4328	0.8520	0.8804	0.8619	0.8678	0.440695	0.417909	0.438817	0.397797
107000	1.7386	0.4495	0.4178	0.4385	0.4328	0.8519	0.8805	0.8618	0.8677	0.441123	0.418394	0.439301	0.397903
108000	1.7381	0.4496	0.4175	0.4382	0.4329	0.8520	0.8807	0.8621	0.8678	0.441554	0.418873	0.439789	0.398031
109000	1.7380	0.4496	0.4174	0.4380	0.4329	0.8521	0.8808	0.8622	0.8677	0.441977	0.419348	0.440277	0.398140
110000	1.7375	0.4494	0.4174	0.4378	0.4329	0.8522	0.8808	0.8623	0.8676	0.442379	0.419791	0.440724	0.398217
111000	1.7380	0.4495	0.4174	0.4381	0.4330	0.8521	0.8809	0.8622	0.8676	0.443202	0.420880	0.441612	0.398859
112000	1.7377	0.4496	0.4173	0.4380	0.4328	0.8521	0.8810	0.8622	0.8677	0.443740	0.421628	0.442219	0.399129
113000	1.7383	0.4498	0.4174	0.4382	0.4330	0.8521	0.8810	0.8621	0.8676	0.444162	0.422270	0.442697	0.399296
114000	1.7386	0.4498	0.4173	0.4383	0.4331	0.8521	0.8810	0.8621	0.8676	0.444633	0.422944	0.443241	0.399512
115000	1.7381	0.4497	0.4172	0.4382	0.4329	0.8522	0.8811	0.8622	0.8676	0.445024	0.423519	0.443695	0.399649
116000	1.7382	0.4499	0.4169	0.4383	0.4331	0.8522	0.8813	0.8622	0.8676	0.445416	0.424101	0.444157	0.399767
117000	1.7384	0.4499	0.4172	0.4381	0.4331	0.8522	0.8812	0.8624	0.8676	0.445742	0.424603	0.444523	0.399819
118000	1.7383	0.4499	0.4171	0.4380	0.4333	0.8523	0.8813	0.8624	0.8675	0.446041	0.425097	0.444877	0.399851
119000	1.7388	0.4499	0.4172	0.4381	0.4336	0.8524	0.8812	0.8624	0.8673	0.446319	0.425592	0.445228	0.399880
120000	1.7384	0.4499	0.4169	0.4380	0.4337	0.8525	0.8815	0.8625	0.8673	0.446597	0.426072	0.445542	0.399923
121000	1.7379	0.4496	0.4167	0.4379	0.4337	0.8526	0.8816	0.8626	0.8673	0.447378	0.427221	0.446411	0.400528
122000	1.7374	0.4494	0.4165	0.4377	0.4336	0.8528	0.8817	0.8627	0.8674	0.447848	0.428051	0.446982	0.400791
123000	1.7375	0.4494	0.4165	0.4377	0.4339	0.8528	0.8817	0.8627	0.8672	0.448286	0.428842	0.447516	0.401024
124000	1.7374	0.4492	0.4167	0.4375	0.4340	0.8530	0.8817	0.8629	0.8671	0.448641	0.429534	0.447980	0.401173
125000	1.7374	0.4493	0.4166	0.4374	0.4341	0.8530	0.8817	0.8630	0.8670	0.448937	0.430146	0.448358	0.401269
126000	1.7373	0.4490	0.4166	0.4373	0.4344	0.8532	0.8817	0.8630	0.8669	0.449194	0.430729	0.448722	0.401332
127000	1.7374	0.4487	0.4167	0.4375	0.4345	0.8534	0.8817	0.8630	0.8668	0.449425	0.431294	0.449059	0.401378
128000	1.7369	0.4485	0.4166	0.4373	0.4346	0.8535	0.8817	0.8632	0.8668	0.449637	0.431820	0.449379	0.401420
129000	1.7372	0.4485	0.4168	0.4373	0.4346	0.8536	0.8816	0.8632	0.8668	0.449794	0.432304	0.449665	0.401442
130000	1.7371	0.4484	0.4168	0.4372	0.4348	0.8537	0.8817	0.8632	0.8667	0.450016	0.432854	0.449992	0.401493
131000	1.7373	0.4484	0.4169	0.4372	0.4348	0.8537	0.8816	0.8632	0.8666	0.450819	0.433810	0.450751	0.401953
132000	1.7374	0.4482	0.4170	0.4372	0.4349	0.8538	0.8815	0.8632	0.8666	0.451305	0.434482	0.451235	0.402138
133000	1.7375	0.4482	0.4169	0.4373	0.4350	0.8539	0.8816	0.8631	0.8665	0.451692	0.435044	0.451619	0.402231
134000	1.7374	0.4483	0.4166	0.4373	0.4352	0.8540	0.8819	0.8631	0.8664	0.452009	0.435542	0.451936	0.402280
135000	1.7374	0.4483	0.4165	0.4374	0.4351	0.8540	0.8819	0.8631	0.8664	0.452280	0.436010	0.452236	0.402278
136000	1.7372	0.4481	0.4165	0.4374	0.4352	0.8542	0.8819	0.8631	0.8664	0.452486	0.436416	0.452462	0.402272
137000	1.7373	0.4482	0.4166	0.4372	0.4353	0.8542	0.8819	0.8632	0.8663	0.452681	0.436799	0.452684	0.402230
138000	1.7370	0.4480	0.4166	0.4372	0.4353	0.8544	0.8819	0.8633	0.8663	0.452886	0.437181	0.452909	0.402186
139000	1.7371	0.4478	0.4167	0.4372	0.4354	0.8545	0.8819	0.8633	0.8663	0.453080	0.437562	0.453118	0.402137
140000	1.7370	0.4477	0.4166	0.4372	0.4355	0.8546	0.8820	0.8633	0.8662	0.453249	0.437916	0.453294	0.402066
141000	1.7372	0.4476	0.4166	0.4372	0.4358	0.8547	0.8820	0.8634	0.8662	0.453921	0.438789	0.454011	0.402684
142000	1.7376	0.4478	0.4168	0.4373	0.4358	0.8547	0.8818	0.8634	0.8662	0.454336	0.439374	0.454461	0.403017
